date,avg_sentiment_score,open,high,low,close,volume,price_change,Bearish,Bullish,Neutral
2025-04-13,0.9925117492675781,85279.46875,86015.1875,83027.0078125,83684.9765625,28796984817.0,-1594.4921875,0,0,1
2025-04-11,0.8576436801390215,79625.046875,84247.4765625,78936.3203125,83404.8359375,41656778779.0,3779.7890625,0,0,1
2025-04-10,0.93522709608078,82565.9765625,82700.9296875,78456.1328125,79626.140625,44718000633.0,-2939.8359375,0,0,1
2025-04-09,0.5186780393123627,76273.5625,83541.0,74589.671875,82573.953125,84213627038.0,6300.390625,0,1,0
2025-04-08,0.5214347839355469,79218.4765625,80823.890625,76198.0234375,76271.953125,48314590749.0,-2946.5234375,0,1,0
2025-04-07,0.8225319882233938,78221.3359375,81119.0625,74436.6796875,79235.3359375,91262424987.0,1014.0,0,0,1
2025-04-05,0.6689828634262085,83844.703125,84207.015625,82377.734375,83504.796875,14380803631.0,-339.90625,0,1,0
2025-04-04,0.848709762096405,83100.25,84696.1484375,81670.75,83843.8046875,45157640207.0,743.5546875,0,0,1
2025-04-03,0.9227557522909982,82487.4765625,83909.296875,81282.1015625,83102.828125,36852112080.0,615.3515625,0,0,1
2025-04-02,0.816501518090566,85180.609375,88466.953125,82343.5390625,82485.7109375,47584398470.0,-2694.8984375,0,0,1
2025-04-01,0.5481949001550674,82551.921875,85487.3671875,82429.359375,85169.171875,28175650319.0,2617.25,0,1,0
2025-03-31,0.7967787981033325,82336.0625,83870.125,81293.890625,82548.9140625,29004228247.0,212.8515625,0,0,1
2025-03-30,0.793390134970347,82596.984375,83505.0,81573.25,82334.5234375,14763760943.0,-262.4609375,0,0,1
2025-03-29,0.7310520807902018,84352.0703125,84567.3359375,81634.140625,82597.5859375,16969396135.0,-1754.484375,0,0,1
2025-03-27,0.9878250360488892,86896.2578125,87786.7265625,85837.9375,87177.1015625,24413471941.0,280.84375,0,0,1
2025-03-26,0.595203086733818,87460.234375,88292.15625,85861.453125,86900.8828125,26704046038.0,-559.3515625,0,0,1
2025-03-25,0.8066359877586364,87512.8203125,88542.3984375,86346.078125,87471.703125,30005840049.0,-41.1171875,0,0,1
2025-03-24,0.8951901708330426,86070.9296875,88758.7265625,85541.1953125,87498.9140625,34582604933.0,1427.984375,0,0,1
2025-03-23,0.8682506680488586,83831.8984375,86094.78125,83794.9140625,86054.375,12594615537.0,2222.4765625,0,0,1
2025-03-22,0.6669624547163645,84046.2578125,84513.875,83674.78125,83832.484375,9863214091.0,-213.7734375,0,0,1
2025-03-21,0.6440859138965607,84164.5390625,84782.2734375,83171.0703125,84043.2421875,19030452299.0,-121.296875,0,0,1
2025-03-20,0.5000545978546143,86872.953125,87443.265625,83647.1953125,84167.1953125,29028988961.0,-2705.7578125,0,0,1
2025-03-19,0.737305760383606,82718.8046875,87021.1875,82569.7265625,86854.2265625,34931960257.0,4135.421875,0,0,1
2025-03-18,0.7894820868968964,84075.71875,84075.71875,81179.9921875,82718.5,24095774594.0,-1357.21875,0,0,1
2025-03-17,0.8123057434956232,82576.3359375,84725.328125,82492.15625,84075.6875,25092785558.0,1499.3515625,0,0,1
2025-03-16,0.8885917067527771,84333.3203125,85051.6015625,82017.90625,82579.6875,21330270174.0,-1753.6328125,0,0,1
2025-03-15,0.7643890976905823,83968.40625,84672.671875,83639.59375,84343.109375,13650491277.0,374.703125,0,1,0
2025-03-14,0.7644516974687576,81066.9921875,85263.2890625,80797.5625,83969.1015625,29588112414.0,2902.109375,0,0,1
2025-03-13,0.8736034482717514,83724.921875,84301.6953125,79931.8515625,81066.703125,31412940153.0,-2658.21875,0,0,1
2025-03-12,0.8508497079213461,82857.375,84358.578125,80635.25,83722.359375,40353484454.0,864.984375,0,0,1
2025-03-11,0.9029786984125773,78523.875,83577.7578125,76624.25,82862.2109375,54702837196.0,4338.3359375,0,0,1
2025-03-10,0.8290598051888602,80597.1484375,83955.9296875,77420.59375,78532.0,54061099422.0,-2065.1484375,0,1,0
2025-03-09,0.8233765661716461,86154.3046875,86471.1328125,80052.484375,80601.0390625,30899345977.0,-5553.265625,0,0,1
2025-03-08,0.9108774065971375,86742.65625,86847.265625,85247.484375,86154.59375,18206118081.0,-588.0625,0,0,1
2025-03-07,0.8592199224692124,89963.28125,91191.046875,84717.6796875,86742.671875,65945677657.0,-3220.609375,0,0,1
